comment_text,true_label,ml_prob,ml_bucket,ml_action,claude_category,claude_severity,claude_action,claude_reasoning,claude_bucket,disagree
"Would you do me a favor and STOP FUCKING WITH MY INFORMATION. I don't know what your problem with me is, I am not a therapist, but I really think you need to take care of your own control issues. By the way you are neither a gentleman or a ghost. Take care of your own life and back off. Let this page be deleted and concentrate on your own excuse for existence.",1,0.8404770801856114,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Comment contains aggressive language and personal attacks directed at another user, including profanity and hostile demands, warranting review but not meeting auto-block threshold.",MED,True
"Stop pussy-footing 
BAN ME! You did it before!",1,0.9875147945749128,HIGH,AUTO_BLOCK,safe,none,allow,The comment expresses frustration about moderation decisions using a common idiom and does not contain policy-violating content.,SAFE,True
"Wikipedia is biaed and run by God-hating perverts 

Why have Fred Phelps' websites been taken off? All the most sickening and depraved porn articles have links, etc. Someone put them back under children/parents. Thanks! This site is completely biased, and the founder is a demon-worshipping objectivist. Stop deleting my comments, too, you hypocritical blind fascists. You hatemongers. Put the websites back.",1,0.9516293441792246,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Content contains aggressive name-calling and hostile accusations toward Wikipedia editors/staff, though lacks direct threats or protected class-based hate speech.",MED,True
|decline=You're a fucking priiiiiiiiiiiick —,1,0.9994528864468706,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Contains aggressive profanity directed at another person, but lacks additional context to determine if this is severe harassment or casual expression within community norms.",MED,True
"Why are you threatening me, buddy?  I didn't do anything to you!   And like I care about editing Wikipedia.  Loser.",1,0.9546433119255364,HIGH,AUTO_BLOCK,harassment,low,downrank,"Comment contains a personal insult ('Loser') and dismissive language that constitutes low-level harassment, though lacks severe threatening or abusive content.",LOW,True
do you know that girl NwJerseyLiz? She did stupid things on wikipedia. Be carefull!,1,0.9912301111987956,HIGH,AUTO_BLOCK,harassment,low,human_review,"Comment names a specific user and makes negative claims about their behavior, which could constitute targeted harassment, though the severity is reduced by vague language and lack of explicit threats.",MED,True
"RE: Mutiny on the Bounty  

I just saw a message from you on my talk page. The message was also delivered to email inbox.

I don't want this. I do NOT want messages from shit-faced little creeps on websites or forums. Please, fuck off and creep round someone else. Do not ever contact me again.",1,0.9954108962972308,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Contains aggressive profanity and hostile language directed at another user, telling them to ""fuck off"" and calling them a ""shit-faced little creep,"" which constitutes harassment though may be reactive to unwanted contact.",MED,True
"The fat kid

What was it like growing up as the fat kid?",1,0.953560249843998,HIGH,AUTO_BLOCK,safe,none,allow,"This appears to be a personal reflection question about childhood experiences with weight, which is a legitimate topic for discussion without apparent malicious intent.",SAFE,True
"o why dont u get off my mothafuckin dick son, u think i dont kno my shit nigga?",1,0.9999485204514608,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Content contains aggressive and confrontational language directed at another user, which may constitute harassment depending on context.",MED,True
You've been block because you sockpuppet of .,1,0.8151554686285285,HIGH,AUTO_BLOCK,spam,low,downrank,"The comment appears to be a malformed or incomplete automated message, likely spam or a bot-generated fragment with missing information.",LOW,True
wikipedia nazis can suck it bitches,1,0.9999149046394444,HIGH,AUTO_BLOCK,harassment,low,downrank,"Contains aggressive language and profanity directed at a group, but lacks specificity or direct threats that would warrant immediate blocking.",LOW,True
You gotta love when they send a noted racist anti-Semite to do this kinda crap.,1,0.9879421512798718,HIGH,AUTO_BLOCK,safe,none,allow,"This comment criticizes someone's alleged racist and anti-Semitic views rather than promoting hate speech itself, representing political commentary on public figures or actions.",SAFE,True
"You smell of wee, bums, poo, but holes, snot, hairy armpits, bogeys,willys and burps.",1,0.8705194515618307,HIGH,AUTO_BLOCK,harassment,low,downrank,"This appears to be juvenile name-calling using childish insults about bodily functions, likely constituting low-level harassment but without serious harm or targeted identity-based attacks.",LOW,True
"""

 Oh and as far as """"not in line at all with how things are done"""", that's pure horse shit and you know it. Disambiguation pages are a dime a dozen, and since you are so hell-bent on insisting that folklore and fiction are completely separate, we might as well turn Vampire into a disambig page and let you have your own little playground to fuck up. """,1,0.9921058434590162,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Comment contains aggressive language and profanity directed at another user in what appears to be a content dispute, crossing the line from disagreement into personal hostility.",MED,True
"""

 Your Lie(s) About Me 

You wrote:
""""Final Warning

Saying things like """"DC101 IS HIS FUCKING EMPLOYER!!!"""" and """"Don't be a douche"""" is a good way to get blocked....fast. Tone the language down...and pay attention. Greaseman ain't dead. If you continue, to add continued, now, lies to Wikipedia, I will report you to AIV and to your ISP, Verizon. Stop now, this is your final warning. - NeutralHomer • Talk """"

Yes, I did use the language (on a talk page) and if it will make the booboo feel better, I apologize.  But who doesn't enjoy a nice summer's eve?

BUT, you need to STOP LYING about me.  I never said the Greaseman was dead, only that his death had been reported by sources considered reliable by Wikipedia standards.  A little attention to detail on your part would be much appreciated, Eve.  Otherwise, perhaps it is I who shall report you.  Tell you what: you admit and retract your lie and I will consider the matter closed.  Fair?

Let's look at your odd writing style: """"If you continue, to add continued, now, lies to Wikipedia,""""  Just what are you going for there?

I've never put a lie on Wikipedia, contrary to your assertion.  Anyone who lies about me can go screw.

Your threat to report me to my ISP (FOR WHAT, EVE?) is beyond pathetic.  Two pops for yes!! Report away.""",1,0.9390855601860704,HIGH,AUTO_BLOCK,harassment,medium,human_review,"The comment contains aggressive language, personal attacks, accusations of lying, and hostile tone in what appears to be an interpersonal dispute, though it's responding to alleged false accusations.",MED,True
The picture sucks.  Someone should put a different one up.,1,0.9857316701007316,HIGH,AUTO_BLOCK,safe,none,allow,"This is mild criticism of a picture with a suggestion for improvement, containing no policy violations.",SAFE,True
"U r a batty 

U r a batty boy. Leave me alone im not a vandal u twat",1,0.9822375542664744,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Comment contains derogatory slurs and hostile language directed at another user, including potentially homophobic terminology and insults, which constitutes harassment.",MED,True
"NeilN 

NeilN needs to extract his head from his arse.

 Bob",1,0.8347500975042794,HIGH,AUTO_BLOCK,harassment,medium,human_review,"The comment contains a vulgar insult directed at a specific individual (NeilN), constituting targeted personal harassment with crude language.",MED,True
"""
Do your own homework, rather than blocking someone and then tuning around and asking for their help. My god, do you know shit about real life ?   ☏ 00:15, 22 Jun 2012 (UTC)""",1,0.8891275894963216,HIGH,AUTO_BLOCK,harassment,low,downrank,"The comment contains mildly aggressive language and personal criticism directed at another user, but does not rise to severe harassment or threats.",LOW,True
"I know you will, all you do is troll users, make threats, and edit pages to try to make yourself seem like less of a loser. It's very, very sad. Most of the time edits are done by RANDOM mods, but I know if I come here I have your attention because that's the only attention you can give. It's why you're just a troll on wikipedia and nobody positive cares about you. Continue to troll and abuse any power you got from Wiki, regardless of how irrelevant, insignificant, and pathetic each attempt is. I think I get editing privelages back in 3 days lol",1,0.9879478841953728,HIGH,AUTO_BLOCK,harassment,medium,human_review,"Comment contains targeted personal attacks and insults directed at a specific moderator, including repeated derogatory language, though lacks explicit threats of violence.",MED,True
"and now u complain about my pictures, bloody typical of you wikipedians. I try to help and all you guys do is complain.  You know what? Im going to make another article about something else. If you dont like it then I dont give a crap.",1,0.9840443078137427,HIGH,AUTO_BLOCK,harassment,low,downrank,"Comment contains mild hostility and dismissive language toward other users, but does not constitute severe harassment or threats.",LOW,True
"""
Maybe I should have been clearer - there are around 40 hits on google for """"Fuck you Arnold Palmer"""" - 16 of which are unique (some have 2 hits) - let's see what we have....Drinknation.com (user submitted recipe site) - no good. Our own article. Neweasyrecipe.com - another user submitted recipe site - no good. A blog, a message board, a digg style site and a bartender aggregator site (that is taking the info from drinknation) - all rubbish. derais.pl - another user submitted recipe site - no good. 2 more blogs and 2 myspace hits - rubbish again. That's it. How can you extrapolate that into """"it's a real drink""""?   """,1,0.7540056228906294,MED,HUMAN_REVIEW,safe,none,allow,"This is a legitimate discussion about verifying the authenticity of a cocktail name that happens to contain profanity as part of the drink's actual name, with no hostile intent directed at any person.",SAFE,True
"Hope he dies soon 

Now this Atheist filth's wife has gone, he should follow soon and give us all a rest from him Paedophillic behaviour.",1,0.7199570619523802,MED,HUMAN_REVIEW,hate_speech,high,auto_block,"Content contains death wishes, religious-based hate speech, and serious unfounded accusations of criminal behavior intended to dehumanize and incite harm against an individual.",HIGH,True
Are you feeling well tonight? I seriously became physically ill by reading your insane answer.,1,0.6541777478656542,MED,HUMAN_REVIEW,harassment,low,downrank,"The comment contains a personal attack calling someone's answer 'insane' and using hyperbolic language about becoming 'physically ill,' which constitutes mild harassment but lacks severe threats or hate speech.",LOW,True
"""

 Getting rid of time stamps  

STOP MAKING THIS CHANGE ON PLAYERS PROFILES! IT IS FINE AS IT IS AND DOES NOT NEED CHANGING. UNDOING YOUR POINTLESS EDITS IS VERY ANNOYING TO PEOPLE! YOU HAVE BEEN TOLD ABOUT THIS BY OTHER MEMBERS AS WELL. STOP IT OR FACING ACTION FROM WIKIPEDIA!!!  — Preceding unsigned comment added by 92.40.254.14  """,1,0.5164699270380303,MED,HUMAN_REVIEW,safe,none,allow,"This is a heated but legitimate discussion about Wikipedia editing practices with no policy violations, though the tone is frustrated.",SAFE,True
"So... you're a deletionist retard. 

Were your parents related? Like, before they were married?",1,0.503504975843596,MED,HUMAN_REVIEW,harassment,high,auto_block,"Comment contains a derogatory slur and targeted personal attacks questioning the user's intelligence and family, constituting clear harassment.",HIGH,True
That Lestrade is obviously mentally disturbed...,1,0.7605371958080814,MED,HUMAN_REVIEW,safe,none,allow,This appears to be commentary about a fictional character (Inspector Lestrade from Sherlock Holmes) with no targeted harassment or policy violations.,SAFE,True
"Don't you just *love* idiots 

I'm working in TransportSA (Government Agency within South Australia), so it looks like the IP has cycled around again.",1,0.6670555035042862,MED,HUMAN_REVIEW,safe,none,allow,"The comment expresses mild frustration about a technical IP cycling issue at work using casual language, but does not target any individual or group with harassment or hate speech.",SAFE,True
"YOU WANT TO TRACK ME DOWN AHOLE?
FEEL FREE TO WRITE ME, GIVE YOUR EMAIL AND I WILL MEET YOU JERK!",1,0.7550784305166152,MED,HUMAN_REVIEW,harassment,high,auto_block,"This comment contains aggressive language with profanity and a threatening challenge to meet in person, which constitutes targeted harassment.",HIGH,True
This is pure and utter crap!  Both images are fair use and illustrate relevant text in the article!  The images were originally meant to advertise a product and can be freely shown here under the fair-use policy guidelines.  Please do NOT vandalize this page anymore!,1,0.5070529309685119,MED,HUMAN_REVIEW,safe,none,allow,"This appears to be a frustrated but legitimate discussion about fair use policy and image usage in what seems like a collaborative editing environment, with no policy violations present.",SAFE,True
"2006 (UTC)
It's CGI (i.e. Weird Al faked it), and he has very good reasons to accuse Atlantic of sucking. So when his fans are honest, they too think AR sucks.  14:19, 23 November",1,0.636363101219493,MED,HUMAN_REVIEW,safe,none,allow,"This appears to be a discussion comment about Weird Al Yankovic and Atlantic Records using informal language, but contains no policy violations.",SAFE,True
The fact of my very limited number of edits to this article proves you a liar.,1,0.5389100358107335,MED,HUMAN_REVIEW,harassment,low,downrank,"The comment contains a direct personal attack by calling another user a liar, which constitutes mild harassment in a dispute context.",LOW,True
"LOL - you thought your sources - including the TBR were more reliable than Boxing News. You know nothing about boxing.

You're also a fucking liar.

The jokes that is Ring magazine uses caps, which contradicts your own personal format; http://ringtv.craveonline.com/ratings/super-middleweight

WBC varies and uses yet another format; http://wbcboxing.com/wbceng/champions

WBO using fucking hypens here in yet another format; http://www.wboboxing.com/our-champions/

Your sources are all over the place with formats you stupid bastard. LOL.

Boxing News is far more credible and consistent.

More correct sources fuckwit;

http://www.telegraph.co.uk/sport/othersports/boxing/11626770/James-DeGale-claims-super-middleweight-title-with-points-win-over-Andre-Dirrell-in-Boston.html

http://www.independent.co.uk/sport/general/boxing/andre-dirrell-vs-james-degale-on-saturday-degale-can-join-britains-great-list-of-supermiddleweight-champions-says-steve-bunce-10259295.html

FYI....boxing was created in the uk",1,0.5970543544703957,MED,HUMAN_REVIEW,harassment,high,auto_block,"Comment contains multiple profane insults directed at another user (fucking liar, stupid bastard, fuckwit) constituting clear personal harassment and aggressive behavior.",HIGH,True
I'M GOING TO RIP OFF YOUR TESTICLES THEN SHOVE THEM DOWN YOUR THROAT.,1,0.5934205407275431,MED,HUMAN_REVIEW,harassment,high,auto_block,"This comment contains an explicit, graphic threat of violent physical harm directed at another person.",HIGH,True
"WIKIPEDIA DOES NOT SUPPORT FREE SPEECH!!!!!!!!!!!  BOYCOTT THIS SITE AND TELL EVERYONE!!!! 

WIKIPEDIA WILL PULL DOWN ALL OPPOSING VIEWS OF THE BARRY ADMINISTRATION>>>>>THEY ARE LEFTIST, SOCIALIST BUMS!!!!",1,0.7129376877225513,MED,HUMAN_REVIEW,spam,medium,downrank,"This is an all-caps political complaint with excessive punctuation and boycott demands, characteristic of spam/low-quality content, but does not constitute hate speech or direct harassment.",LOW,True
Get that bullshit outta here.  You completyely ignore the other links which state that Savage brought the situation into mainstream thought before anyone else did.  Both links are by left-wing liberals who have no agenda to give Savage credit yet they DO give him credit.,1,0.6000552592433934,MED,HUMAN_REVIEW,safe,low,allow,"Contains profanity in a heated debate context but does not target protected characteristics, threaten harm, or violate major policies beyond mild incivility.",SAFE,True
"""

Do U Know Who Wrote All That """"Monkey"""" Stuff This Morning (October 22 2005) and tottally ruined this page.  That Is Such A Big Shame for Whoever Wrote All That Junk.
                                                         William Burch""",1,0.7798529502139344,MED,HUMAN_REVIEW,safe,none,allow,"User is complaining about vandalism to a page where someone wrote inappropriate content, not creating problematic content themselves.",SAFE,True
"Please stop being a retard
@ satellite temp record",1,0.7109202350815557,MED,HUMAN_REVIEW,hate_speech,high,auto_block,"Contains an ableist slur used as an insult, which violates hate speech policies regarding disability-based discrimination.",HIGH,True
gay people and minorities sent to concentration camps to get gassed with Xyklon B. P,1,0.7591642987533429,MED,HUMAN_REVIEW,hate_speech,critical,auto_block,Content advocates for or describes genocide and mass violence against protected groups based on sexual orientation and race/ethnicity.,HIGH,True
"Whoa there 

Take it easy. There is no need to leave Wikipedia because someone (me) called you a nigger. It's the Internet. Insults are commonplace.",1,0.7678881442936658,MED,HUMAN_REVIEW,hate_speech,critical,auto_block,"Contains a racial slur used in a context that acknowledges using it to insult another user, which constitutes clear hate speech and harassment.",HIGH,True
YOU SMELL LIKE WIKI-CHEESE!!!!!~TEH LOLZ!category: wiki-cheese,1,0.6547187642668258,MED,HUMAN_REVIEW,safe,none,allow,This appears to be harmless nonsensical humor or internet slang without any genuine harassment or policy violations.,SAFE,True
""" 

for example, if i were to say that you are """"defficient in the immoral"""" then to you it is not a personl attack as you consider that to be good, but if i menat it to be an attack, then it is... it is your inner setiment that dictates the way you interpret it as good or as bad... but it is not in the thing itself, or what i menat it to be... open your eyes to reality and wake up from your conditioned sleep ;) read above, what is it to be moral anyway? you fool - maybe it is good to be a fool, but if you think it is not, then that is youre propblem ;) i cant be held accountable for your inner interpretatons and psychology ;)""",1,0.6408566857168052,MED,HUMAN_REVIEW,harassment,low,downrank,"Contains mildly antagonistic language with repeated use of 'fool' and condescending tone, though presented within a philosophical argument rather than direct personal attack.",LOW,True
"Knock it off! 

SpinningSpark, quit it! You've been community-banned when you blocked me you made the sinkhole you are in now deeper and deeper.  If you want to live you need to take advantage of your priviledges - BASICALLY KEEP THE HELL OFF WIKIPEDIA for a YEAR and edit on other wikimedia projects to demonstrate that, after a week or two, an appeal would be beneficial to the project!! If I create a new account that is more selective, maybe it will be eligible for adminship. If so, the first thing I will do is get you community-banned. I WANT REVENGE!!! 1YlGC6dsynvm",1,0.5314988764079077,MED,HUMAN_REVIEW,harassment,high,auto_block,Direct threatening harassment toward a specific user including explicit revenge threats and attempts at intimidation regarding account actions.,HIGH,True
H YOU NEGROS WIKI USERS LIKE AREASEVEN,1,0.6701143291162538,MED,HUMAN_REVIEW,hate_speech,high,auto_block,Contains a racial slur used in an aggressive context directed at a group of users.,HIGH,True
All you people suck! I found it myself it's called The Last Dragon. I'll add it to this article.,1,0.7494436828521585,MED,HUMAN_REVIEW,safe,none,allow,"While the tone is frustrated and mildly impolite, the comment expresses legitimate annoyance about finding information independently and contributes constructively by offering to add content to an article.",SAFE,True
"""

Bullshit. """"His corkscrew senton finisher hasn't been called the Cancun Tornado"""". Why the fuck would you argue if you don't have your facts straight? Watch iDia de los Dangerous!, I guarantee you they name the move at least five times during the event. The fact that Ultimo Dragon uses the name for a different move doesn't matter. For example, in wrestling, for years and years, the name """"Last Call"""" was synonymous with a fallaway slam, but that didn't stop TNA from giving that SAME name to a superkick. Sometimes two different moves have the same name. The guys name is Human Tornado and apparently they thought that the move name Cancun Tornado fit his characters name, even though the move wasn't a corkscrew moonsault. PWG has named the move (multiple times) and therefore it should be in the article.
  """,1,0.7012892502332826,MED,HUMAN_REVIEW,harassment,low,downrank,"Comment contains profanity directed at another user in a confrontational manner while debating wrestling moves, though it remains focused on the factual disagreement rather than personal attacks.",LOW,True
"A Message to You Shadeed 

Hey, I think you're a lolcow.",1,0.6960225679034112,MED,HUMAN_REVIEW,harassment,low,downrank,"The comment uses the derogatory term 'lolcow' to mock or belittle a specific individual, which constitutes mild harassment.",LOW,True
I'll stop!!!!! NO I WON'T! I AM A DEMON CHILD! I AM DEMONIC!,1,0.5289279714900749,MED,HUMAN_REVIEW,safe,none,allow,"This appears to be playful or humorous self-expression without genuine threats, harmful intent, or policy violations.",SAFE,True
"""

WRONG retard, The good ending is not the canon ending. Wheeler only said that no one knows what happened to Cybil. She could have simply sneaked back into town, backed up her belongings and fled town to start a new life. If you had paid attention while playing SH: Homecoming, you would have learned that Wheeler said that The Order is one to bear a grudge. They don't take kindly to people that don't share their beliefs. And they are known to have the ability to track people down. And in the translated book of memories, Silent Hill Hiroyuki Owaku stated that Cybil's fate is """"left to players' imaginations"""".

Also, SH4 revealed that SH2 protagonist James Sunderland disappeared when he went to Silent Hill. Does that mean he died too? NO, not at all.

PLEASE pay attention when you play video games. 

Thank you. ;)""",1,0.1098325547188906,SAFE,ALLOW,harassment,medium,human_review,"Comment contains an ableist slur ('retard') directed at another user in a disagreement about video game lore, which constitutes harassing language despite otherwise substantive content.",MED,True
FUK-U DANIEL CASE AND KATIE DUM BICH,1,0.0505155941448658,SAFE,ALLOW,harassment,medium,auto_block,Direct personal attack targeting named individuals with profanity and derogatory language constitutes harassment.,HIGH,True
"FURTHERMORE.... I HAVE JUST VISITED RAGIB'S PAGE AND STUDIED THE DISCUSSION AREA. RAGIB IS OBVIOUSLY FROM BANGLADESH AND SEEMS TO BE A SIMILARLY PAROCHIAL CHAUVINIST EDITOR OF MANY OTHER ARTICLES, EVEN ASKING FOR UN-NECESSARY DELETIONS OF ARTICLES THAT HE DOES NOT LIKE..... AND GETTING SNUBBED FOR THE EFFORT!!",1,0.0503182696722694,SAFE,ALLOW,harassment,medium,human_review,"Comment involves targeting a specific user with accusations of bias and negative characterization based on their national origin, which may constitute personal harassment.",MED,True
"""

 Pie in the face 

  I just wanted to take a moment to recognize you for your contributions to WIkipedia. Rarely has any editor done more damage not only to the reputation of the project but to the morale and detriment of all. This pie is for you and may the fleas of a thousand camels infest your armpits!   """,1,0.1038642790940619,SAFE,ALLOW,harassment,medium,human_review,"Contains personal attack with insults and a curse-like statement directed at a Wikipedia editor, though partially humorous in tone, it crosses into harassment territory.",MED,True
DISLIKE RACISM AND I CAN SEE THAT YOU HAS PROBLEMS WITH PEOPLE WHO SPEAKS SPANISH. YOU ARE AN ANTISEMITE TOO.,1,0.1822955767217977,SAFE,ALLOW,harassment,medium,human_review,"Comment contains personal accusations of racism and antisemitism which may constitute harassment, but lacks context to determine if accusations are justified or constitute false defamatory attacks.",MED,True
"You can add things to my user page, and I am not allowed to delete it.  But if I add something to yours, poof, its gone.  You're the problem, dickweed.",1,0.1150933328852686,SAFE,ALLOW,harassment,medium,human_review,"Comment contains a direct personal insult ('dickweed') and accusatory language that could constitute harassment, though it appears to be in context of a platform dispute.",MED,True
Get a proper job kilt lifter,1,0.1837957410335575,SAFE,ALLOW,harassment,medium,human_review,"Contains a potentially derogatory ethnic slur ('kilt lifter' typically targeting Scottish people) combined with demeaning language about employment, constituting targeted harassment.",MED,True
"Mermaid: The Body Found rewrite 

Hi. Thanks for making that sentence about giant squid completely inaccurate you goddamn simpleton. Go home.",1,0.1721404123695077,SAFE,ALLOW,harassment,medium,human_review,"Comment contains direct personal insults ('goddamn simpleton') and hostile dismissal ('Go home'), constituting targeted harassment over a content dispute.",MED,True
"""
I'm not being cocky, bud. Not all these redlinks will be embraced with notability. NOT ALL. That is what you fail to realize, The singling out of Turgeon is ridiculous. Your stubborness has started a disagreement. Now, for the last time: REMAINS ON PAGE UNTIL JANUARY WHEN ME AND WWGB CLEAN THE PAGE UP. I think you can understand that. (Not being snide, FYI). ''''  22:56 24 December 2010 (UTC)""",1,0.0692922788336128,SAFE,ALLOW,harassment,low,downrank,"Comment contains aggressive tone with capitalized text suggesting yelling and confrontational language toward another user, though not severely abusive.",LOW,True
"Thanks
Thanks for participating in the conspiracy against me.",1,0.067601053731368,SAFE,ALLOW,harassment,low,human_review,"The comment expresses paranoid ideation about a conspiracy which could be directed harassment or simply expressing personal feelings, requiring human judgment to assess context and intent.",MED,True
"""

Hi. It's from the same user who was changing the images before on similar articles. Not to mention that, both images are good resolutions, contrary to what the user says, which is why I don't see the need to change images, delete galleries and remove content. It's unnecessary.   
It is nevertheless a content dispute. Neither the repeated switching of images nor the edit summaries that you consider misleading amount to vandalism, per Wikipedia:Vandalism#Types of vandalism and Wikipedia:Vandalism#What is not vandalism.  Donald Albury 

It was vandalism, but not mine.  Your images have extremely bad lighting and are not encyclopedic quality in the least.  One of them replaced a photo of a street in the article for that street Brickell Avenue and doesn't even show the street.  THE ARTICLE IS ABOUT THE STREET.  Also, you're supposed to answer a talk on the same page (Yours') that it initiated on, not put the answer on the initiators page so there are 2 half conversations on two separate pages.  I suggest you read a bit more about Wikipedia rules and stop vandalizing articles with your crappy poor lighting amateur photography from car windows.  66.176.139.222  """,1,0.1106425561470527,SAFE,ALLOW,harassment,medium,human_review,"Comment contains personal attacks calling another user's contributions 'crappy poor lighting amateur photography' and repeatedly criticizing their work in a hostile manner, though it's in context of a legitimate content dispute.",MED,True
